lambda,lambdaL
10.769230769230768,0.0
13.846153846153843,0.0
16.923076923076923,0.0
20.0,0.0
23.07692307692308,0.0
26.153846153846157,0.0
29.230769230769226,0.0
32.30769230769231,0.0
35.38461538461539,0.0
38.46153846153845,0.0
41.53846153846153,0.0
44.615384615384606,0.0
47.692307692307686,0.0
50.76923076923077,0.0
53.84615384615385,0.0
56.92307692307692,0.0
60.0,0.0
63.07692307692307,0.0
66.15384615384615,0.0
69.23076923076923,0.0
72.3076923076923,0.0
75.38461538461537,0.0
78.46153846153845,0.0
81.53846153846153,0.0
84.61538461538461,0.0
87.6923076923077,0.0
90.76923076923077,0.0
93.84615384615385,0.0
96.92307692307695,0.0
100.0,0.0
103.07692307692308,0.0
106.15384615384615,0.0
109.23076923076923,0.0
112.3076923076923,0.0
115.38461538461539,0.0
118.46153846153844,0.0
121.53846153846152,0.0
124.6153846153846,0.0
127.69230769230768,0.0
130.76923076923077,0.0
133.84615384615384,0.0
136.9230769230769,0.0
140.0,0.0
143.07692307692307,0.0
146.15384615384616,0.0
149.23076923076923,0.0
152.3076923076923,0.0
155.3846153846154,0.0
158.46153846153845,0.0
161.53846153846152,0.0
164.6153846153846,0.0
167.69230769230768,0.0
170.76923076923077,0.0
173.84615384615384,0.0
176.9230769230769,0.0
180.0,0.0
183.07692307692304,0.0
186.15384615384616,0.0
189.2307692307692,0.0
192.3076923076923,0.0
195.38461538461536,0.0
198.46153846153845,0.0
201.53846153846152,0.0
204.6153846153846,0.0
207.69230769230768,0.0
210.7692307692308,0.0
213.84615384615384,0.0
216.92307692307688,0.0
220.0,0.0
223.07692307692304,0.0
226.15384615384613,0.0
229.2307692307692,0.0
232.3076923076923,0.0
235.38461538461536,0.0
238.46153846153845,0.0
241.53846153846152,0.0
244.6153846153846,0.0
247.69230769230768,0.0
250.7692307692308,0.0
253.84615384615384,0.0
256.9230769230769,0.0
260.0,0.0
263.0769230769231,0.0
266.15384615384613,0.0
269.2307692307692,0.0
272.3076923076923,0.0
275.3846153846153,0.0
278.46153846153845,0.0
281.53846153846155,0.0
284.6153846153846,0.0
287.6923076923077,0.0
290.7692307692308,0.0
293.8461538461538,0.0
296.9230769230769,0.0
300.0,0.0
303.0769230769231,0.0
306.15384615384613,0.0
309.2307692307692,0.0
312.3076923076923,0.0
315.3846153846153,0.0
318.46153846153845,0.0
321.53846153846155,0.0
324.6153846153846,0.0
327.6923076923077,0.0
330.7692307692308,0.0
333.8461538461538,0.0
336.9230769230769,0.0
340.0,0.0
343.07692307692304,0.0
346.15384615384613,0.0
349.2307692307692,0.0
352.3076923076923,0.0
355.3846153846153,0.0
358.46153846153845,0.0
361.5384615384616,0.0
364.6153846153846,0.0
367.6923076923077,0.0
370.7692307692308,0.0
373.84615384615375,0.0
376.9230769230769,0.0
380.0,0.0
383.07692307692304,0.0
386.1538461538461,0.0
389.2307692307692,0.0
392.3076923076923,0.0
395.38461538461536,0.0
398.46153846153845,0.0
401.5384615384616,0.0
404.6153846153846,0.0
407.6923076923077,0.0
410.7692307692308,0.0
413.84615384615375,0.0
416.9230769230769,0.0
420.0,0.0
423.07692307692304,0.0
426.1538461538461,0.0
429.2307692307692,0.0
432.3076923076923,0.0
435.38461538461536,0.0
438.46153846153845,0.0
441.5384615384616,0.0
444.6153846153846,0.0
