lambda,All,sigma_all,Low_luminosity,sigma_low,Mid_luminosity,sigma_mid,High_luminosity,sigma_high,CIVZ1,sigma_CIVZ1,CIVZ2,sigma_CIVZ2," UVBump",sigma_ UVBump,ScottUV,sigma_ScottUV,CaseUV,sigma_CaseUV
0.8368322388638231,44.237,1.02,43.914,1.02,44.262,1.02,44.567,1.03,44.45,1.03,44.684,1.03,44.233,0.39,44.23,0.39,44.23,0.39
0.8568307892788622,44.237,1.02,43.914,1.02,44.262,1.02,44.567,1.03,44.45,1.03,44.684,1.03,44.234,0.39,44.23,0.39,44.23,0.39
0.8768312470425341,44.237,1.02,43.914,1.02,44.262,1.02,44.567,1.03,44.45,1.03,44.684,1.03,44.235,0.4,44.23,0.39,44.23,0.39
0.896831704806206,44.237,1.02,43.914,1.02,44.262,1.02,44.567,1.03,44.45,1.03,44.684,1.03,44.236,0.4,44.23,0.39,44.23,0.39
0.9168321625698779,44.237,1.02,43.914,1.02,44.262,1.02,44.567,1.03,44.45,1.03,44.684,1.03,44.236,0.4,44.23,0.39,44.23,0.39
0.9368307129849169,44.237,1.02,43.914,1.02,44.262,1.02,44.567,1.03,44.45,1.03,44.684,1.03,44.237,0.4,44.23,0.39,44.231,0.39
0.9568311707485888,44.237,1.02,43.914,1.02,44.262,1.02,44.567,1.03,44.45,1.03,44.684,1.03,44.238,0.4,44.23,0.39,44.231,0.39
0.9768316285122607,44.237,1.02,43.914,1.02,44.262,1.02,44.567,1.03,44.45,1.03,44.684,1.03,44.238,0.4,44.23,0.39,44.231,0.39
0.9968320862759326,44.237,1.02,43.914,1.02,44.262,1.02,44.567,1.03,44.45,1.03,44.684,1.03,44.239,0.4,44.23,0.39,44.231,0.39
1.0168325440396044,44.237,1.02,43.914,1.02,44.262,1.02,44.567,1.03,44.45,1.03,44.684,1.03,44.239,0.4,44.23,0.39,44.231,0.39
1.0368310944546435,44.237,1.02,43.914,1.02,44.262,1.02,44.567,1.03,44.45,1.03,44.684,1.03,44.24,0.4,44.23,0.39,44.231,0.39
1.0568315522183154,44.237,1.02,43.914,1.02,44.262,1.02,44.567,1.03,44.45,1.03,44.684,1.03,44.24,0.4,44.23,0.39,44.231,0.39
1.0768320099819872,44.237,1.02,43.914,1.02,44.262,1.02,44.567,1.03,44.45,1.03,44.684,1.03,44.241,0.4,44.23,0.39,44.232,0.39
1.0968324677456591,44.237,1.02,43.914,1.02,44.262,1.02,44.567,1.03,44.45,1.03,44.684,1.03,44.241,0.4,44.23,0.39,44.232,0.39
1.1168310181606982,44.237,1.02,43.914,1.02,44.262,1.02,44.567,1.03,44.45,1.03,44.684,1.03,44.241,0.4,44.23,0.39,44.232,0.39
1.13683147592437,44.237,1.02,43.914,1.02,44.262,1.02,44.567,1.03,44.45,1.03,44.684,1.03,44.242,0.4,44.23,0.39,44.232,0.39
1.156831933688042,44.237,1.02,43.914,1.02,44.262,1.02,44.567,1.03,44.45,1.03,44.684,1.03,44.242,0.4,44.23,0.39,44.233,0.39
1.1768323914517138,44.237,1.02,43.914,1.02,44.262,1.02,44.567,1.03,44.45,1.03,44.684,1.03,44.242,0.4,44.23,0.39,44.234,0.39
1.1968309418667529,44.237,1.02,43.914,1.02,44.262,1.02,44.567,1.03,44.45,1.03,44.684,1.03,44.242,0.4,44.23,0.39,44.235,0.39
1.2168313996304247,44.237,1.02,43.914,1.02,44.262,1.02,44.567,1.03,44.45,1.03,44.684,1.03,44.243,0.4,44.23,0.39,44.236,0.38
1.2368318573940966,44.237,1.02,43.914,1.02,44.262,1.02,44.567,1.03,44.45,1.03,44.684,1.03,44.243,0.4,44.23,0.39,44.238,0.38
1.2568323151577685,44.237,1.02,43.914,1.02,44.262,1.02,44.567,1.03,44.45,1.03,44.684,1.03,44.243,0.4,44.23,0.39,44.24,0.38
1.2768308655728076,44.237,1.02,43.914,1.02,44.262,1.02,44.567,1.03,44.45,1.03,44.684,1.03,44.243,0.4,44.23,0.39,44.243,0.38
1.2968313233364794,44.237,1.02,43.914,1.02,44.262,1.02,44.567,1.03,44.45,1.03,44.684,1.03,44.243,0.4,44.23,0.39,44.246,0.37
