lambda all sigma blue red opt_lum opt_dim ir_lum ir_dim
52.09926884590609 1.9952623149688665e+44 1.8377045052240408e+44 1.949844599758041e+44 2.089296130854041e+44 3.8904514499428355e+44 9.772372209558152e+43 3.801893963205596e+44 1.096478196143183e+44
54.5546317411275 2.04173794466954e+44 1.9275228956305176e+44 1.9952623149688665e+44 2.137962089502224e+44 3.981071705534986e+44 1e+44 3.8904514499428355e+44 1.096478196143183e+44
57.12571232453831 2.137962089502224e+44 2.018364251036431e+44 2.089296130854041e+44 2.1877616239495694e+44 4.1686938347033286e+44 1e+44 4.073802778041122e+44 1.122018454301956e+44
59.81796420276708 2.1877616239495694e+44 2.1157530669789045e+44 2.137962089502224e+44 2.238721138568347e+44 4.365158322401666e+44 1.0232929922807494e+44 4.265795188015952e+44 1.1481536214968887e+44
62.63709800300412 2.29086765276777e+44 2.268214614132691e+44 2.238721138568347e+44 2.3442288153199085e+44 4.570881896148715e+44 1.0471285480509071e+44 4.466835921509617e+44 1.1748975549395304e+44
65.58909348600753 2.3442288153199085e+44 2.3750259828779942e+44 2.29086765276777e+44 2.398832919019504e+44 4.78630092322638e+44 1.0715193052376091e+44 4.677351412872001e+44 1.2022644346174082e+44
68.68021222997771 2.4547089156850333e+44 2.5434792706031717e+44 2.398832919019504e+44 2.5118864315095717e+44 5.011872336272755e+44 1.096478196143183e+44 4.8977881936844356e+44 1.2302687708123911e+44
71.9170109122042 2.570395782768844e+44 2.663349755624236e+44 2.5118864315095717e+44 2.6302679918953924e+44 5.248074602497711e+44 1.122018454301956e+44 5.128613839913659e+44 1.2882495516931324e+44
75.30635521665697 2.6302679918953924e+44 2.7859512996101488e+44 2.570395782768844e+44 2.754228703338152e+44 5.495408738576271e+44 1.1748975549395304e+44 5.370317963702488e+44 1.318256738556399e+44
78.85543439702387 2.754228703338152e+44 2.9806675988512917e+44 2.691534803926914e+44 2.8183829312644723e+44 5.888436553555931e+44 1.2022644346174082e+44 5.6234132519034906e+44 1.3803842646028867e+44
82.5717765260784 2.8840315031266115e+44 3.1211421350075367e+44 2.8183829312644723e+44 2.9512092266663777e+44 6.1659500186148086e+44 1.258925411794171e+44 5.888436553555931e+44 1.445439770745916e+44
86.46326446373573 3.019951720401994e+44 3.3377739902204904e+44 2.9512092266663777e+44 3.0902954325136046e+44 6.456542290346588e+44 1.318256738556399e+44 6.1659500186148086e+44 1.479108388168213e+44
90.5381525776525 3.1622776601683794e+44 3.4950784321016646e+44 3.1622776601683794e+44 3.235936569296268e+44 6.76082975391979e+44 1.3803842646028867e+44 6.456542290346588e+44 1.5488166189124732e+44
94.80508425184809 3.3113112148259345e+44 3.659796403930657e+44 3.3113112148259345e+44 3.3884415613920342e+44 7.079457843841402e+44 1.445439770745916e+44 6.76082975391979e+44 1.6218100973589332e+44
99.27311022048066 3.5481338923357315e+44 4.003241302135206e+44 3.467368504525309e+44 3.5481338923357315e+44 7.413102413009131e+44 1.5135612484362071e+44 7.079457843841402e+44 1.698243652461732e+44
103.9517077656688 3.715352290971727e+44 4.191908252202262e+44 3.6307805477010325e+44 3.801893963205596e+44 7.762471166286926e+44 1.5848931924611238e+44 7.413102413009131e+44 1.8197008586099757e+44
108.85080082007607 3.8904514499428355e+44 4.389466801691169e+44 3.801893963205596e+44 3.981071705534986e+44 8.12830516164093e+44 1.6595869074375563e+44 7.762471166286926e+44 1.9054607179632523e+44
113.9807810169038 4.073802778041122e+44 4.6901387742576085e+44 4.073802778041122e+44 4.1686938347033286e+44 8.70963589956076e+44 1.7378008287493834e+44 8.12830516164093e+44 1.9952623149688665e+44
119.35252973193889 4.265795188015952e+44 4.911178204845632e+44 4.265795188015952e+44 4.365158322401666e+44 9.120108393559115e+44 1.8197008586099757e+44 8.70963589956076e+44 2.089296130854041e+44
124.97744116440684 4.570881896148715e+44 5.262422257954195e+44 4.466835921509617e+44 4.570881896148715e+44 9.54992586021429e+44 1.9054607179632523e+44 8.912509381337512e+44 2.1877616239495694e+44
130.8674465056018 4.78630092322638e+44 5.51043257820235e+44 4.677351412872001e+44 4.78630092322638e+44 1e+45 1.9952623149688665e+44 9.54992586021429e+44 2.3442288153199085e+44
137.03503924653958 5.011872336272755e+44 5.8855338900403535e+44 5.011872336272755e+44 5.011872336272755e+44 1.047128548050907e+45 2.089296130854041e+44 1e+45 2.4547089156850333e+44
143.4933016783269 5.248074602497711e+44 6.16291055678226e+44 5.248074602497711e+44 5.248074602497711e+44 1.0964781961431827e+45 2.1877616239495694e+44 1.047128548050907e+45 2.570395782768844e+44
150.25593264145598 5.495408738576271e+44 6.4533595830910165e+44 5.495408738576271e+44 5.495408738576271e+44 1.1481536214968888e+45 2.3442288153199085e+44 1.0964781961431827e+45 2.691534803926914e+44
157.33727658288143 5.888436553555931e+44 7.050485639214745e+44 5.888436553555931e+44 5.7543993733715425e+44 1.2302687708123911e+45 2.4547089156850333e+44 1.1481536214968888e+45 2.8183829312644723e+44
164.75235398251525 6.1659500186148086e+44 7.382764790444585e+44 6.1659500186148086e+44 6.025595860743592e+44 1.2882495516931323e+45 2.570395782768844e+44 1.2022644346174081e+45 3.019951720401994e+44
172.51689321368028 6.456542290346588e+44 7.7307037756196e+44 6.456542290346588e+44 6.456542290346588e+44 1.3489628825916614e+45 2.691534803926914e+44 1.2589254117941711e+45 3.1622776601683794e+44
180.6473639050928 6.76082975391979e+44 8.250714478052547e+44 6.76082975391979e+44 6.76082975391979e+44 1.4125375446227495e+45 2.8183829312644723e+44 1.318256738556399e+45 3.3113112148259345e+44
189.16101187516225 7.079457843841402e+44 8.63955867178576e+44 7.24435960074989e+44 7.079457843841402e+44 1.4791083881682134e+45 2.9512092266663777e+44 1.3803842646028867e+45 3.467368504525309e+44
198.07589571267744 7.413102413009131e+44 9.046728527787497e+44 7.585775750291882e+44 7.413102413009131e+44 1.5488166189124732e+45 3.0902954325136046e+44 1.4454397707459162e+45 3.6307805477010325e+44
207.4109250814971 7.943282347242789e+44 9.87664510199016e+44 7.943282347242789e+44 7.762471166286926e+44 1.621810097358933e+45 3.235936569296268e+44 1.513561248436207e+45 3.8904514499428355e+44
217.18590083048176 8.317637711026742e+44 1.034211704526106e+45 8.317637711026742e+44 8.12830516164093e+44 1.6982436524617323e+45 3.3884415613920342e+44 1.584893192461124e+45 4.073802778041122e+44
227.42155699374905 8.70963589956076e+44 1.1030072783253917e+45 8.912509381337512e+44 8.511380382023759e+44 1.819700858609975e+45 3.6307805477010325e+44 1.6595869074375564e+45 4.265795188015952e+44
238.1396047703388 9.120108393559115e+44 1.1549904098424503e+45 9.332543007969885e+44 8.912509381337512e+44 1.9054607179632523e+45 3.801893963205596e+44 1.7378008287493836e+45 4.466835921509617e+44
249.36277857658172 9.54992586021429e+44 1.2094234308710271e+45 9.772372209558151e+44 9.332543007969885e+44 1.9952623149688667e+45 3.981071705534986e+44 1.819700858609975e+45 4.677351412872001e+44
261.11488426883346 1.0232929922807495e+45 1.319482746282918e+45 1.047128548050907e+45 9.772372209558151e+44 2.089296130854041e+45 4.1686938347033286e+44 1.9054607179632523e+45 4.8977881936844356e+44
273.42084963890204 1.0715193052376091e+45 1.3816680522934556e+45 1.0964781961431827e+45 1.047128548050907e+45 2.18776162394957e+45 4.365158322401666e+44 1.9952623149688667e+45 5.248074602497711e+44
286.3067772892265 1.122018454301956e+45 1.4726194911557456e+45 1.1481536214968888e+45 1.0964781961431827e+45 2.2908676527677702e+45 4.570881896148715e+44 2.089296130854041e+45 5.495408738576271e+44
299.8 1.1748975549395304e+45 1.5420219096053815e+45 1.2022644346174081e+45 1.1481536214968888e+45 2.3988329190195046e+45 4.78630092322638e+44 2.18776162394957e+45 5.7543993733715425e+44
313.92913870565906 1.2302687708123911e+45 1.643023148588257e+45 1.2882495516931323e+45 1.2022644346174081e+45 2.5703957827688437e+45 5.011872336272755e+44 2.3442288153199083e+45 6.025595860743592e+44
328.7241632037262 1.318256738556399e+45 1.7605310226645702e+45 1.3489628825916614e+45 1.2589254117941711e+45 2.6915348039269135e+45 5.370317963702488e+44 2.4547089156850333e+45 6.30957344480189e+44
344.2164557247655 1.3803842646028867e+45 1.84350229356133e+45 1.4125375446227495e+45 1.318256738556399e+45 2.818382931264472e+45 5.6234132519034906e+44 2.5703957827688437e+45 6.76082975391979e+44
360.4388774983005 1.4454397707459162e+45 1.9636663606747638e+45 1.513561248436207e+45 1.3803842646028867e+45 2.951209226666378e+45 5.888436553555931e+44 2.6915348039269135e+45 7.079457843841402e+44
377.42583845589104 1.513561248436207e+45 2.0562111051097742e+45 1.584893192461124e+45 1.4791083881682134e+45 3.090295432513605e+45 6.1659500186148086e+44 2.818382931264472e+45 7.413102413009131e+44
395.21337021921016 1.584893192461124e+45 2.1896108633692364e+45 1.6595869074375564e+45 1.5488166189124732e+45 3.311311214825934e+45 6.456542290346588e+44 2.951209226666378e+45 7.762471166286926e+44
413.839202527945 1.6982436524617323e+45 2.3462103110580874e+45 1.7782794100389225e+45 1.621810097358933e+45 3.467368504525309e+45 6.76082975391979e+44 3.090295432513605e+45 8.12830516164093e+44
433.3428432696292 1.7782794100389225e+45 2.456783796440322e+45 1.8620871366628807e+45 1.6982436524617323e+45 3.6307805477010325e+45 7.079457843841402e+44 3.311311214825934e+45 8.70963589956076e+44
453.7656622811749 1.8620871366628807e+45 2.6154445904689086e+45 1.949844599758041e+45 1.7782794100389225e+45 3.8904514499428366e+45 7.413102413009131e+44 3.467368504525309e+45 9.120108393559115e+44
475.1509790998411 1.9952623149688667e+45 2.8024993704666627e+45 2.089296130854041e+45 1.8620871366628807e+45 4.073802778041122e+45 7.943282347242789e+44 3.6307805477010325e+45 9.54992586021429e+44
497.5441548497814 2.089296130854041e+45 2.934577096710337e+45 2.18776162394957e+45 1.9952623149688667e+45 4.265795188015952e+45 8.317637711026742e+44 3.801893963205597e+45 1e+45
520.9926884590631 2.18776162394957e+45 3.123254527445049e+45 2.2908676527677702e+45 2.089296130854041e+45 4.4668359215096165e+45 8.70963589956076e+44 3.9810717055349855e+45 1.047128548050907e+45
545.5463174112728 2.2908676527677702e+45 3.270448978516903e+45 2.3988329190195046e+45 2.18776162394957e+45 4.6773514128719994e+45 9.120108393559115e+44 4.1686938347033295e+45 1.0964781961431827e+45
571.2571232453807 2.3988329190195046e+45 3.4245804903489764e+45 2.511886431509572e+45 2.2387211385683465e+45 4.897788193684436e+45 9.54992586021429e+44 4.365158322401665e+45 1.1481536214968888e+45
598.1796420276711 2.511886431509572e+45 3.585975996542529e+45 2.630267991895392e+45 2.3442288153199083e+45 5.128613839913658e+45 1e+45 4.570881896148714e+45 1.2022644346174081e+45
626.3709800300414 2.5703957827688437e+45 3.669504107748947e+45 2.754228703338152e+45 2.4547089156850333e+45 5.248074602497712e+45 1.0232929922807495e+45 4.6773514128719994e+45 1.2589254117941711e+45
655.8909348600757 2.6915348039269135e+45 3.780467629246026e+45 2.8840315031266114e+45 2.511886431509572e+45 5.4954087385762707e+45 1.0715193052376091e+45 4.897788193684436e+45 1.318256738556399e+45
686.8021222997775 2.818382931264472e+45 3.958635579565846e+45 2.951209226666378e+45 2.630267991895392e+45 5.623413251903491e+45 1.122018454301956e+45 5.011872336272756e+45 1.3489628825916614e+45
719.1701091220439 2.8840315031266114e+45 4.0508440475629726e+45 3.090295432513605e+45 2.6915348039269135e+45 5.888436553555933e+45 1.1748975549395304e+45 5.248074602497712e+45 1.4125375446227495e+45
753.063552166572 3.0199517204019954e+45 4.241754445905206e+45 3.2359365692962675e+45 2.818382931264472e+45 6.025595860743594e+45 1.2022644346174081e+45 5.3703179637024886e+45 1.4791083881682134e+45
788.5543439702354 3.090295432513605e+45 4.340557599470583e+45 3.311311214825934e+45 2.951209226666378e+45 6.309573444801892e+45 1.2589254117941711e+45 5.623413251903491e+45 1.513561248436207e+45
825.7177652607814 3.311311214825934e+45 4.6509912633285434e+45 3.548133892335731e+45 3.0199517204019954e+45 6.760829753919791e+45 1.2882495516931323e+45 5.888436553555933e+45 1.584893192461124e+45
864.6326446373573 3.467368504525309e+45 4.7903466182622206e+45 3.715352290971728e+45 3.2359365692962675e+45 7.079457843841402e+45 1.3489628825916614e+45 6.309573444801892e+45 1.6595869074375564e+45
905.3815257765244 3.715352290971728e+45 5.132948880247667e+45 3.9810717055349855e+45 3.467368504525309e+45 7.762471166286928e+45 1.4125375446227495e+45 6.918309709189419e+45 1.7378008287493836e+45
948.0508425184802 3.9810717055349855e+45 5.408386254350091e+45 4.365158322401665e+45 3.715352290971728e+45 8.709635899560759e+45 1.4791083881682134e+45 7.943282347242789e+45 1.819700858609975e+45
992.731102204806 4.365158322401665e+45 5.930177604215374e+45 4.7863009232263804e+45 3.9810717055349855e+45 9.772372209558152e+45 1.5488166189124732e+45 8.912509381337514e+45 1.8620871366628807e+45
1039.517077656688 4.6773514128719994e+45 6.354299786404486e+45 5.128613839913658e+45 4.265795188015952e+45 1.0964781961431828e+46 1.584893192461124e+45 1e+46 1.949844599758041e+45
1088.508008200764 5.011872336272756e+45 6.924157517694534e+45 5.4954087385762707e+45 4.570881896148714e+45 1.2302687708123912e+46 1.6595869074375564e+45 1.0964781961431828e+46 2.04173794466954e+45
1139.8078101690428 5.3703179637024886e+45 7.543024593594288e+45 5.888436553555933e+45 4.7863009232263804e+45 1.3489628825916616e+46 1.6982436524617323e+45 1.2302687708123912e+46 2.089296130854041e+45
1193.5252973193838 5.4954087385762707e+45 7.84526066964006e+45 6.165950018614809e+45 5.011872336272756e+45 1.4454397707459162e+46 1.7378008287493836e+45 1.3182567385563992e+46 2.137962089502224e+45
1249.774411644063 5.754399373371542e+45 8.347496356243544e+45 6.309573444801892e+45 5.128613839913658e+45 1.4791083881682132e+46 1.7782794100389225e+45 1.3489628825916616e+46 2.137962089502224e+45
1308.674465056018 5.754399373371542e+45 8.347496356243544e+45 6.309573444801892e+45 5.248074602497712e+45 1.5135612484362073e+46 1.7782794100389225e+45 1.3803842646028866e+46 2.18776162394957e+45
1370.3503924653958 5.754399373371542e+45 8.347496356243544e+45 6.309573444801892e+45 5.248074602497712e+45 1.5135612484362073e+46 1.7782794100389225e+45 1.4125375446227496e+46 2.18776162394957e+45
1434.9330167832688 5.754399373371542e+45 8.347496356243544e+45 6.309573444801892e+45 5.248074602497712e+45 1.5135612484362073e+46 1.7782794100389225e+45 1.3803842646028866e+46 2.18776162394957e+45
1502.55932641456 5.623413251903491e+45 8.157484141114234e+45 6.165950018614809e+45 5.128613839913658e+45 1.5135612484362073e+46 1.7378008287493836e+45 1.3803842646028866e+46 2.137962089502224e+45
1573.3727658288203 5.4954087385762707e+45 7.971797132053609e+45 6.025595860743594e+45 5.128613839913658e+45 1.4791083881682132e+46 1.7378008287493836e+45 1.3489628825916616e+46 2.089296130854041e+45
1647.523539825159 5.3703179637024886e+45 7.79033687535148e+45 5.888436553555933e+45 5.011872336272756e+45 1.4454397707459162e+46 1.6982436524617323e+45 1.3182567385563992e+46 2.04173794466954e+45
1725.1689321367958 5.248074602497712e+45 7.492165774911768e+45 5.623413251903491e+45 4.897788193684436e+45 1.4125375446227496e+46 1.6595869074375564e+45 1.3182567385563992e+46 1.9952623149688667e+45
1806.473639050922 5.128613839913658e+45 7.321623260815048e+45 5.4954087385762707e+45 4.7863009232263804e+45 1.3803842646028866e+46 1.621810097358933e+45 1.2882495516931323e+46 1.9952623149688667e+45
1891.6101187516224 5.011872336272756e+45 7.154962768284351e+45 5.248074602497712e+45 4.6773514128719994e+45 1.3489628825916616e+46 1.584893192461124e+45 1.2589254117941713e+46 1.9054607179632523e+45
1980.7589571267745 4.897788193684436e+45 6.879320190886211e+45 5.128613839913658e+45 4.570881896148714e+45 1.3182567385563992e+46 1.5488166189124732e+45 1.2302687708123912e+46 1.8620871366628807e+45
2074.109250814971 4.6773514128719994e+45 6.56969977916396e+45 4.897788193684436e+45 4.4668359215096165e+45 1.2589254117941713e+46 1.513561248436207e+45 1.1748975549395304e+46 1.8620871366628807e+45
2171.859008304817 4.570881896148714e+45 6.314906709545032e+45 4.7863009232263804e+45 4.4668359215096165e+45 1.2302687708123912e+46 1.513561248436207e+45 1.1481536214968887e+46 1.819700858609975e+45
2274.215569937495 4.570881896148714e+45 6.314906709545032e+45 4.6773514128719994e+45 4.365158322401665e+45 1.2302687708123912e+46 1.4791083881682134e+45 1.1481536214968887e+46 1.7782794100389225e+45
2381.396047703396 4.4668359215096165e+45 6.171161883431019e+45 4.570881896148714e+45 4.365158322401665e+45 1.2022644346174082e+46 1.4791083881682134e+45 1.1220184543019563e+46 1.7782794100389225e+45
2493.6277857658074 4.4668359215096165e+45 6.068309185373835e+45 4.570881896148714e+45 4.365158322401665e+45 1.2022644346174082e+46 1.4791083881682134e+45 1.1220184543019563e+46 1.7782794100389225e+45
2611.148842688327 4.4668359215096165e+45 6.068309185373835e+45 4.4668359215096165e+45 4.365158322401665e+45 1.2022644346174082e+46 1.513561248436207e+45 1.1220184543019563e+46 1.7782794100389225e+45
2734.20849638902 4.4668359215096165e+45 6.068309185373835e+45 4.4668359215096165e+45 4.365158322401665e+45 1.2022644346174082e+46 1.513561248436207e+45 1.1220184543019563e+46 1.7782794100389225e+45
2863.067772892265 4.365158322401665e+45 5.930177604215374e+45 4.365158322401665e+45 4.365158322401665e+45 1.1748975549395304e+46 1.4791083881682134e+45 1.1220184543019563e+46 1.7378008287493836e+45
2998.0 4.265795188015952e+45 5.696966717620932e+45 4.1686938347033295e+45 4.265795188015952e+45 1.1220184543019563e+46 1.4454397707459162e+45 1.0715193052376093e+46 1.6982436524617323e+45
3139.291387056591 4.073802778041122e+45 5.440560978138827e+45 3.9810717055349855e+45 4.073802778041122e+45 1.0715193052376093e+46 1.4125375446227495e+45 1.0471285480509069e+46 1.6595869074375564e+45
3287.241632037262 3.8904514499428366e+45 5.106114442783605e+45 3.801893963205597e+45 3.9810717055349855e+45 1.0232929922807496e+46 1.3489628825916614e+45 9.772372209558152e+45 1.584893192461124e+45
3442.164557247655 3.6307805477010325e+45 4.765303264089418e+45 3.548133892335731e+45 3.801893963205597e+45 9.549925860214289e+45 1.2882495516931323e+45 9.332543007969886e+45 1.513561248436207e+45
3604.3887749830046 3.467368504525309e+45 4.47099017704474e+45 3.311311214825934e+45 3.548133892335731e+45 9.120108393559116e+45 1.2302687708123911e+45 8.709635899560759e+45 1.4454397707459162e+45
3774.258384558911 3.2359365692962675e+45 4.172570811548093e+45 3.090295432513605e+45 3.388441561392034e+45 8.511380382023759e+45 1.1748975549395304e+45 8.317637711026743e+45 1.3489628825916614e+45
3952.1337021921017 3.0199517204019954e+45 3.89406965525724e+45 2.951209226666378e+45 3.2359365692962675e+45 7.943282347242789e+45 1.122018454301956e+45 7.762471166286928e+45 1.2882495516931323e+45
4138.3920252794505 2.8840315031266114e+45 3.6524003707535005e+45 2.754228703338152e+45 3.0199517204019954e+45 7.585775750291882e+45 1.0715193052376091e+45 7.413102413009131e+45 1.2302687708123911e+45
4333.4284326962925 2.754228703338152e+45 3.4245968157014844e+45 2.630267991895392e+45 2.8840315031266114e+45 7.079457843841402e+45 1.0232929922807495e+45 6.918309709189419e+45 1.1748975549395304e+45
4537.656622811754 2.630267991895392e+45 3.2704645691075656e+45 2.511886431509572e+45 2.754228703338152e+45 6.760829753919791e+45 1e+45 6.606934480075964e+45 1.1481536214968888e+45
4751.509790998411 2.511886431509572e+45 3.0654310938186144e+45 2.3988329190195046e+45 2.6915348039269135e+45 6.456542290346589e+45 9.772372209558151e+44 6.309573444801892e+45 1.0964781961431827e+45
4975.441548497809 2.3988329190195046e+45 2.9274639675563836e+45 2.2908676527677702e+45 2.5703957827688437e+45 6.165950018614809e+45 9.332543007969885e+44 5.888436553555933e+45 1.0715193052376091e+45
5209.926884590631 2.3442288153199083e+45 2.806848888855811e+45 2.18776162394957e+45 2.4547089156850333e+45 5.888436553555933e+45 8.912509381337512e+44 5.754399373371542e+45 1.0232929922807495e+45
5455.463174112733 2.2387211385683465e+45 2.680519878939829e+45 2.089296130854041e+45 2.3988329190195046e+45 5.623413251903491e+45 8.70963589956076e+44 5.4954087385762707e+45 9.772372209558151e+44
5712.571232453807 2.137962089502224e+45 2.559876611070596e+45 1.9952623149688667e+45 2.3442288153199083e+45 5.4954087385762707e+45 8.511380382023759e+44 5.3703179637024886e+45 9.54992586021429e+44
