lambda all sigma_all low sigma_low mid sigma_mid high sigma_high CIVZ1 sigma_CIVZ1 CIVZ2 sigma_CIVZ2 UVBump sigma_UVBump ScottUV sigma_ScottUV CaseUV sigma_CaseUV
1.2497768267183615 1.7258378919902108e+44 4.053366375081347e+44 8.203515443298209e+43 1.92670782172826e+44 1.8281002161427446e+44 4.2935434323132645e+44 3.6897759857015046e+44 8.750903876598606e+44 2.8183829312644723e+44 6.6842535195947905e+44 4.8305880203976975e+44 1.145652516514826e+45 1.7021585083949568e+44 1.5285522748638512e+44 1.698243652461732e+44 1.5250367021877567e+44 1.698243652461732e+44 1.5250367021877567e+44
1.308672625864003 1.7258378919902108e+44 4.053366375081347e+44 8.203515443298209e+43 1.92670782172826e+44 1.8281002161427446e+44 4.2935434323132645e+44 3.6897759857015046e+44 8.750903876598606e+44 2.8183829312644723e+44 6.6842535195947905e+44 4.8305880203976975e+44 1.145652516514826e+45 1.7060823890031208e+44 1.5320759517719196e+44 1.698243652461732e+44 1.5250367021877567e+44 1.698243652461732e+44 1.5250367021877567e+44
1.3703499109975257 1.7258378919902108e+44 4.053366375081347e+44 8.203515443298209e+43 1.92670782172826e+44 1.8281002161427446e+44 4.2935434323132645e+44 3.6897759857015046e+44 8.750903876598606e+44 2.8183829312644723e+44 6.6842535195947905e+44 4.8305880203976975e+44 1.145652516514826e+45 1.7060823890031208e+44 1.5320759517719196e+44 1.698243652461732e+44 1.5250367021877567e+44 1.698243652461732e+44 1.5250367021877567e+44
1.434934025101304 1.7258378919902108e+44 4.053366375081347e+44 8.203515443298209e+43 1.92670782172826e+44 1.8281002161427446e+44 4.2935434323132645e+44 3.6897759857015046e+44 8.750903876598606e+44 2.8183829312644723e+44 6.6842535195947905e+44 4.8305880203976975e+44 1.145652516514826e+45 1.7100153150902755e+44 1.5356077515941703e+44 1.698243652461732e+44 1.5250367021877567e+44 1.698243652461732e+44 1.5250367021877567e+44
1.5025619660124512 1.7258378919902108e+44 4.053366375081347e+44 8.203515443298209e+43 1.92670782172826e+44 1.8281002161427446e+44 4.2935434323132645e+44 3.6897759857015046e+44 8.750903876598606e+44 2.8183829312644723e+44 6.6842535195947905e+44 4.8305880203976975e+44 1.145652516514826e+45 1.7100153150902755e+44 1.5356077515941703e+44 1.698243652461732e+44 1.5250367021877567e+44 1.698243652461732e+44 1.5250367021877567e+44
1.573370278234495 1.7258378919902108e+44 4.053366375081347e+44 8.203515443298209e+43 1.92670782172826e+44 1.8281002161427446e+44 4.2935434323132645e+44 3.6897759857015046e+44 8.750903876598606e+44 2.8183829312644723e+44 6.6842535195947905e+44 4.8305880203976975e+44 1.145652516514826e+45 1.7139573075084323e+44 1.53914769305588e+44 1.698243652461732e+44 1.5250367021877567e+44 1.698243652461732e+44 1.5250367021877567e+44
1.64752267154769 1.7258378919902108e+44 4.053366375081347e+44 8.203515443298209e+43 1.92670782172826e+44 1.8281002161427446e+44 4.2935434323132645e+44 3.6897759857015046e+44 8.750903876598606e+44 2.8183829312644723e+44 6.6842535195947905e+44 4.8305880203976975e+44 1.145652516514826e+45 1.7139573075084323e+44 1.53914769305588e+44 1.698243652461732e+44 1.5250367021877567e+44 1.698243652461732e+44 1.5250367021877567e+44
1.7251698413354002 1.7258378919902108e+44 4.053366375081347e+44 8.203515443298209e+43 1.92670782172826e+44 1.8281002161427446e+44 4.2935434323132645e+44 3.6897759857015046e+44 8.750903876598606e+44 2.8183829312644723e+44 6.6842535195947905e+44 4.8305880203976975e+44 1.145652516514826e+45 1.7179083871575858e+44 1.5822520973594004e+44 1.698243652461732e+44 1.5250367021877567e+44 1.698243652461732e+44 1.5250367021877567e+44
1.8064764951958712 1.7258378919902108e+44 4.053366375081347e+44 8.203515443298209e+43 1.92670782172826e+44 1.8281002161427446e+44 4.2935434323132645e+44 3.6897759857015046e+44 8.750903876598606e+44 2.8183829312644723e+44 6.6842535195947905e+44 4.8305880203976975e+44 1.145652516514826e+45 1.7179083871575858e+44 1.5822520973594004e+44 1.698243652461732e+44 1.5250367021877567e+44 1.698243652461732e+44 1.5250367021877567e+44
1.8916067957005973 1.7258378919902108e+44 4.053366375081347e+44 8.203515443298209e+43 1.92670782172826e+44 1.8281002161427446e+44 4.2935434323132645e+44 3.6897759857015046e+44 8.750903876598606e+44 2.8183829312644723e+44 6.6842535195947905e+44 4.8305880203976975e+44 1.145652516514826e+45 1.7179083871575858e+44 1.5822520973594004e+44 1.698243652461732e+44 1.5250367021877567e+44 1.698243652461732e+44 1.5250367021877567e+44
1.9807575652614025 1.7258378919902108e+44 4.053366375081347e+44 8.203515443298209e+43 1.92670782172826e+44 1.8281002161427446e+44 4.2935434323132645e+44 3.6897759857015046e+44 8.750903876598606e+44 2.8183829312644723e+44 6.6842535195947905e+44 4.8305880203976975e+44 1.145652516514826e+45 1.7218685749859955e+44 1.5858995651430618e+44 1.698243652461732e+44 1.5250367021877567e+44 1.698243652461732e+44 1.5250367021877567e+44
