lambda all disk dust
2879.0 127979923584577.97 126667843001042.02 1312080583535.95
2912.0 124573489010989.0 123224800824175.83 1348688186813.1868
2945.0 123991986417657.06 122607511035653.66 1384475382003.3958
2978.0 119195164539959.7 117775695097380.78 1419469442578.912
3012.0000000000005 113271049136786.17 111817835325365.19 1453213811420.9824
3046.0 111908273145108.34 110412225869993.44 1496047275114.905
3080.0 112425000000000.0 110896798701298.7 1528201298701.2986
3115.0 114049117174959.88 112480340288924.56 1568776886035.313
3150.0 116113015873015.88 114504565079365.08 1608450793650.7937
3186.0 116965285624607.64 115318549905838.05 1646735718769.617
3222.0 117333271260086.9 115649106145251.4 1684165114835.5059
3258.0 115944751381215.47 114214782074892.56 1729969306322.8975
3295.0 113277996965098.64 111503763277693.48 1774233687405.1592
3332.0 111030372148859.53 109212857142857.14 1817515006002.4011
3370.0 108888783382789.31 107029489614243.33 1859293768545.994
3408.0 107410739436619.72 105501801643192.48 1908937793427.23
3447.0 106543371047287.48 104586451987235.27 1956919060052.219
3486.0 104491394148020.64 102487567412507.17 2003826735513.4824
3525.0 101124028368794.33 99065826950354.61 2058201418439.7163
3565.0 98980252454417.95 96869458625525.95 2110793828892.0059
3605.0 98380970873786.4 96218751733703.19 2162219140083.2178
3646.0 97521338453099.28 95309429511793.75 2211908941305.5405
3687.0000000000005 96274260916734.47 94005636018443.17 2268624898291.2935
3729.0 94466344864574.94 92142874765352.64 2323470099222.3115
3771.0 91903686024927.06 89518642269954.92 2385043754972.156
3814.0 89924278972207.66 87479659150498.16 2444619821709.491
3857.0 89543583095670.22 87040715582058.6 2502867513611.6157
3901.0 88379902589079.73 85813042809536.02 2566859779543.707
3945.0 85114321926489.23 82477297845373.89 2637024081115.336
3990.0 82351077694235.6 79653629072681.7 2697448621553.885
4035.0000000000005 81432664188351.9 78661278810408.9 2771385377942.998
4079.9999999999995 80461029411764.72 77624686274509.81 2836343137254.9023
4127.0 78818269929731.03 75912527259510.53 2905742670220.499
4173.0 77590222861250.9 74608746705008.39 2981476156242.5117
4220.0 77507535545023.7 74452701421800.95 3054834123222.749
4268.0 78321696344892.22 75188828491096.53 3132867853795.689
4316.0 82660333642261.34 79451167747914.73 3209165894346.617
4365.0 86196792668957.61 82906891179839.62 3289901489117.984
4415.0 82096987542468.84 78722115515288.78 3374872027180.0674
4465.0 77618992161254.2 74161052631578.95 3457939529675.252
4515.0 78286644518272.44 74740837209302.33 3545807308970.1
4566.0 79381997371879.11 75751042487954.45 3630954883924.6606
4618.0 76280857514075.36 72554456474664.36 3726401039411.001
4670.0 72606809421841.55 68787087794432.55 3819721627408.994
4723.0 73505907262333.25 69589400804573.36 3916506457759.898
4776.0 75954355108877.72 71943211892797.33 4011143216080.4023
4830.0 84353664596273.28 80244604554865.42 4109060041407.8677
4885.0 93959836233367.45 89743611054247.69 4216225179119.7544
4940.0 93217165991902.83 88896161943319.83 4321004048582.9956
4996.0 88451801441152.92 84023210568454.77 4428590872698.159
5053.0 80037641005343.36 75498812586582.23 4538828418761.132
5110.0 70285792563600.78 65633318982387.47 4652473581213.307
5168.0 67582623839009.28 62808332043343.65 4774291795665.634
5225.999999999999 68438844240336.79 63551174894756.99 4887669345579.794
5285.0 68525714285714.28 63511084200567.64 5014630085146.642
5345.0 68149111318989.71 63011285313376.984 5137826005612.723
5406.0 66492822789493.164 61224417314095.445 5268405475397.706
5467.0 63941247484909.45 58539692701664.53 5401554783244.924
5528.999999999999 61163754747693.984 55627567372038.35 5536187375655.635
5591.0 58126131282418.164 52452935074226.44 5673196208191.737
5654.0 56311920764060.84 50495143261407.85 5816777502652.989
5718.0 55681636935991.6 49720241343126.96 5961395592864.638
5783.0 56196299498530.17 50084174303994.47 6112125194535.708
5848.0 58083686730506.16 51819056087551.305 6264630642954.856
5915.0 58287404902789.516 51865653423499.58 6421751479289.94
5981.999999999999 56080942828485.46 49500578401872.29 6580364426613.173
6049.0 54567664076706.9 47822287981484.55 6745376095222.352
6118.0 54295259888852.56 47380944753187.32 6914315135665.25
6187.0 54755778244706.64 47666600937449.484 7089177307257.152
6257.0 56682659421447.98 49414054658782.164 7268604762665.813
6328.0 62584671302149.17 55137048040455.12 7447623261694.059
6399.0 77772776996405.69 70136052508204.41 7636724488201.28
6472.0 99917892459826.95 92089369592089.0 7828522867737.947
6504.0 106534095940959.4 98619634071340.7 7914461869618.696
6543.0 200741827907687.6 192723334861684.25 8018493046003.363
6583.0 236328746771988.44 228204134892905.97 8124611879082.485
6623.0 97372758568624.48 89138783028838.9 8233975539785.597
6662.0 78343113179225.45 69995334734314.02 8343278294806.364
6703.0 73476270326719.38 65023010592272.12 8453259734447.262
6743.0 58964075337386.914 50396455583568.15 8567619753818.774
6784.0 55660097287735.85 46980745872641.51 8679351415094.34
6825.0 58655375824175.83 49861242490842.49 8798526007326.006
6866.0 58519073696475.38 49602796387998.836 8916277308476.55
6908.0 56002015055008.68 46970691951360.74 9031323103647.943
6949.0 57513797668729.31 48363188948050.08 9154923010505.107
6991.000000000001 51794942068373.62 42519196109283.36 9275745959090.258
7033.0 56375017773354.195 46975629176738.24 9399388596615.953
7076.0 54553770491803.29 45029315997738.836 9524454494064.443
7119.0 51828046073886.78 42180036521983.42 9652220817530.55
7161.999999999999 52739181792795.31 42956542865121.48 9778452946104.441
7205.0 50597751561415.68 40686251214434.42 9911500346981.264
7248.0 52291274834437.086 42248305739514.34 10042969094922.736
7292.0 49480156335710.37 39304552934722.984 10175603400987.385
7336.0 51954163031624.86 41639342966194.11 10314820065430.752
7380.0 49645742547425.48 39193365853658.54 10452376693766.938
7425.000000000001 50919566329966.33 40328651851851.85 10590914478114.477
7470.0 53406139223560.914 42674342704149.93 10731796519410.979
7514.999999999999 51107622089155.03 40232641383898.875 10874980705256.156
7560.0 51993092592592.59 40976632275132.28 11020425925925.926
7606.000000000001 49278196160925.58 38111572442808.305 11166623718117.275
7652.0 50317974385781.49 39002992681651.86 11314981704129.639
7698.0 49366910885944.41 37901449727201.875 11465461158742.531
7745.0 51242768237572.63 39626244028405.43 11616524209167.205
7791.0 50905585932486.2 39130614811962.52 11774971120523.682
7838.000000000001 52375113549374.836 40445077825976.01 11930035723398.824
7886.0 52181775297996.45 40092452447375.09 12089322850621.355
7933.0 48036780536997.35 35784774990545.82 12252005546451.531
7981.0 48345144718706.93 35930171657687.01 12414973061019.924
8028.999999999999 48022515879935.24 35442789886660.86 12579725993274.38
8078.0 48065236444664.516 35320581827184.95 12748365932161.426
8127.0 50885212255444.82 37966551002830.07 12914972314507.197
8176.0 49208855185909.984 36118272994129.16 13090582191780.822
8225.0 53730720972644.38 40466621276595.74 13264099696048.633
8275.0 52960439879154.08 39519255589123.87 13441184290030.213
8325.0 50524852852852.86 36905109909909.914 13619742942942.943
8375.0 52918727164179.09 39118977910447.76 13799749253731.342
8426.0 56405523380014.24 42422447187277.48 13983076192736.768
8477.0 58357907278518.34 44186636781880.38 14171270496637.963
8528.0 55976962945591.0 41616233583489.68 14360729362101.312
8579.0 54183459610677.234 39632029374052.92 14551430236624.318
8631.0 51498491484184.914 36753375043448.03 14745116440736.879
8683.0 51331643441206.96 36388255211332.49 14943388229874.469
8736.0 49170494505494.5 34026064560439.562 15140998168498.168
8788.0 49193400091033.23 33852018661811.562 15344792899408.283
8841.0 47545479018210.61 31997656373713.383 15547822644497.23
8895.0 47671401911186.06 31917998875772.91 15756773468240.586
8948.0 46166117568171.66 30197780509611.086 15964986589181.938
9003.0 49180786404531.82 33003641008552.707 16177145395979.12
9057.0 50966331014684.77 34571173677818.266 16395157336866.512
9112.0 50254007901668.125 33641955662862.16 16612052238805.97
9167.0 51270476709937.82 34434320933784.223 16832885349623.65
9222.0 54098588158750.82 37041001951854.266 17057586206896.553
9278.0 50421202845440.83 33136979952575.99 17284222892864.842
9334.0 47491352046282.41 29976788086565.246 17514563959717.166
9390.0 45733069222577.21 27981333333333.332 17751735889243.875
9447.0 45653888006774.63 27666522705620.832 17987365301153.805
9504.0 53039111952861.95 34812634680134.68 18226477272727.273
9561.0 52309001150507.27 33836855977408.227 18469009517832.863
9619.0 49715248986381.125 30999176629587.28 18716072356793.848
9677.0 46963606489614.555 27997236746925.703 18966369742688.85
9735.0 43582635850025.69 24362791987673.344 19219843862352.34
9794.0 46831123136614.25 27356673473555.242 19474449663059.016
9853.0 48820572414493.055 29085437937683.953 19735134476809.094
9913.0 49916261474831.03 29919513769797.24 19996747705033.793
9973.0 52171152110698.89 31906920685851.797 20264231424847.086
10033.0 56676035084222.07 36141542908402.27 20534492175819.797
10093.0 53481611017536.9 32674130585554.344 20810450807490.336
10154.0 50461707701398.47 29374731140437.266 21086976560961.2
10216.0 49110738057948.31 27746759984338.29 21366912685982.77
10277.0 46826793811423.57 25175381920794.008 21651411890629.562
10339.0 47763861108424.414 25821829964213.176 21942031144211.24
10402.0 49425785425879.64 27192972505287.45 22232812920592.195
10465.0 50511931199235.55 27983243191591.02 22528688007644.527
10528.0 52877908434650.46 30048343465045.594 22829564969604.867
10591.0 52116115569823.43 28980761023510.527 23135354546312.906
10654.999999999998 54926286250586.586 31482517128108.875 23443769122477.715
10720.0 57297597014925.375 33542921641791.047 23754675373134.33
10784.0 69287049332344.21 45214643916913.945 24072405415430.266
10850.0 83294663594470.05 58904482949308.76 24390180645161.29
10915.0 72031653687585.89 47314290426019.234 24717363261566.652
10981.0 61764642564429.46 36715330115654.305 25046582278481.01
11047.0 53796826287679.91 28414103376482.3 25382722911197.61
11114.0 53102958430807.99 27382308799712.074 25720649631095.918
11181.000000000002 52556835703425.445 26494265271442.62 26062570431982.82
11249.0 54056746377455.77 27645349808871.9 26408731442794.914
11317.0 55302861182292.125 28541532208182.383 26761328974109.746
11385.0 51267511638120.336 24149897233201.582 27120247694334.652
11454.0 50236261568011.17 22755903614457.832 27480357953553.344
11523.000000000002 48806284821661.02 20959722294541.35 27846562527119.67
11592.0 49449413388543.82 21230660800552.1 28218752587991.715
11661.999999999998 50432827988338.195 21835887497856.29 28594369747899.164
11733.0 50942747805335.38 21966935992499.79 28975811812835.594
11803.999999999998 50875074550999.664 21514789901728.23 29360284649271.438
11875.0 51043001263157.9 21290218105263.16 29752783157894.734
11947.000000000002 50828233029212.35 20677592701096.508 30148130911525.902
12019.0 51788398369248.69 21237184457941.59 30551213911307.098
12091.0 54160378794144.41 23200964353651.477 30959414440492.93
12164.0 53766335087142.39 22393807957908.582 31372527129233.8
12238.0 54972315737865.66 23181952933485.863 31790362804379.797
12312.0 55228750812215.73 23013399935022.742 32212915854450.94
12386.0 55077902470531.24 22435380268044.566 32644942677216.207
12461.0 56440158895754.75 23361351416419.227 33078807479335.523
12536.0 58558573707721.76 25039135290363.754 33519438417358.01
12612.000000000002 58605052331113.22 24638653663177.926 33966398667935.293
12688.0 60330969419924.34 25911150693568.727 34419818726355.61
12765.0 67553054445750.09 32676203681942.812 34876850763807.28
12842.0 72206930384675.3 36864521102631.984 35342409282043.3
12919.0 63874874216270.61 28058532394148.152 35814021209071.91
12997.0 61021075632838.35 24729982303608.527 36293400015388.17
13076.000000000002 61149937289691.03 24374226063016.21 36775711226674.82
13154.999999999998 59750333713416.97 22484430254656.027 37265903458760.94
