lambda all disk dust
41400.0 103843768115942.02 4573036231884.058 99270731884057.95
41650.0 104228187274909.95 4536229531812.726 99691957743097.23
41900.00000000001 102747684964200.47 4500577565632.458 98247107398568.02
42150.0 102849537366548.05 4465348517200.475 98384188849347.56
42410.0 102501768450837.06 4429490214572.034 98072278236265.03
42660.0 104009376465072.67 4395098921706.5166 99614277543366.14
42920.0 103449161230195.72 4360092264678.472 99089068965517.23
43179.99999999999 102687401574803.17 4325507179249.6533 98361894395553.52
43440.0 102348848987108.67 4291336095764.2725 98057512891344.39
43700.0 102563157894736.84 4257571624713.9585 98305586270022.89
43960.0 102911328480436.75 4224206551410.373 98687121929026.39
44220.0 102509633649932.16 4191233830845.771 98318399819086.39
44490.0 103706945380984.48 4157711845358.5073 99549233535625.98
44760.0 104086058981233.25 4125264075067.024 99960794906166.22
45030.0 102862758161225.84 4091873861869.8647 98770884299356.0
45300.0 103176203090507.72 4059543487858.7197 99116659602649.02
45570.00000000001 103288567039719.1 4027596225587.008 99260970814132.08
45839.99999999999 103072600349040.16 3996679319371.7285 99075921029668.44
46120.0 102836860364267.14 3964614483954.901 98872245880312.23
46400.0 103120862068965.53 3932936637931.0347 99187925431034.48
46680.0 102823436161096.83 3901638817480.7197 98921797343616.11
46960.0 103806388415672.9 3871352640545.145 99935035775127.78
47240.0 102302624894157.5 3840790855207.451 98461834038950.05
47520.0 101068939393939.39 3810589225589.2256 97258350168350.17
47810.0 102023551558251.4 3779950637941.853 98243600920309.55
48099.99999999999 101346112266112.27 3750304781704.782 97595807484407.5
48390.00000000001 100057243232072.73 3720394709650.754 96336848522421.98
48680.0 99214831552999.19 3690841002465.078 95523990550534.1
48970.0 98688503165203.2 3662249540535.0215 95026253624668.16
49260.0 98533536337799.42 3633386114494.519 94900150223304.9
49560.00000000001 99691364003228.39 3604133171912.8325 96087230831315.56
49860.0 98369995988768.55 3575833533894.906 94794162454873.64
50160.0 98140271132376.39 3547274720893.142 94592996411483.25
50460.0 99279785969084.44 3519649623464.1304 95760136345620.3
50759.99999999999 97570843183609.14 3491760441292.3564 94079082742316.8
51070.0 97741727041315.84 3464107695320.149 94277619345995.69
51369.99999999999 98396496009343.98 3436874051002.5312 94959621958341.47
51680.0 96181965944272.44 3409876934984.52 92772089009287.94
51990.0 97165416426235.81 3383201769571.0713 93782214656664.75
52310.0 97946511183330.16 3355627987000.573 94590883196329.58
52619.99999999999 99078715317369.84 3329591790193.8433 95749123527176.0
52939.99999999999 97347223271628.27 3302670192670.948 94044553078957.31
53259.99999999999 96537176117161.12 3276634998122.419 93260541119038.69
53580.0 96911832773422.92 3250351250466.5923 93661481522956.33
53900.0 96058367346938.78 3224935807050.0923 92833431539888.67
54220.0 95712615271117.67 3199820361490.225 92512794909627.45
54550.0 96012942254812.1 3174417598533.455 92838524656278.64
54880.00000000001 97183709912536.42 3148774052478.1333 94034935860058.3
55210.0 96602825575076.97 3123980076073.175 93478845499003.8
55540.0 95974864962189.4 3099480734605.6895 92875384227583.72
55870.0 96427528190442.1 3075270807231.0723 93352257383211.03
56210.00000000001 97124319516100.33 3050802348336.5947 94073517167763.73
56550.0 97229566755084.0 3026097966401.4146 94203468788682.6
56890.0 97175461416769.22 3002215855159.079 94173245561610.12
57230.0 95812371134020.61 2978093657172.811 92834277476847.8
57570.0 94725759944415.48 2954777140871.982 91770982803543.5
57920.0 94412154696132.6 2931228245856.3535 91480926450276.25
58270.0 94719718551570.28 2907962244722.8423 91811756306847.44
58620.0 93898464687819.86 2884974070283.1797 91013490617536.67
58970.0 92731083601831.45 2862767169747.329 89868316432084.11
59320.00000000001 94306608226567.77 2840316925151.719 91466291301416.05
59680.0 94039142091152.83 2817657841823.0566 91221484249329.77
60039.99999999999 93475283144570.3 2795270486342.4385 90680012658227.84
60400.0 93414503311258.28 2772653642384.106 90641849668874.19
60759.99999999999 93354443712969.08 2750798222514.813 90603645490454.27
61130.00000000001 94505905447407.16 2728263373139.211 91777642074267.94
61500.0 95351024390243.9 2706487154471.545 92644537235772.36
61870.0 96573686762566.69 2684971391627.6064 93888715370939.06
62240.0 97974485861182.52 2663711439588.689 95310774421593.83
62610.0 98496821593994.56 2642702763136.8794 95854118830857.69
62990.00000000001 97283886331163.66 2621524686458.1675 94662361644705.5
63370.0 96747830203566.34 2600600599652.8325 94147229603913.52
63750.0 96829521568627.45 2580396235294.1177 94249125333333.33
64130.0 94900046779978.16 2559963823483.5493 92340082956494.62
64520.0 94651673899566.03 2539843149411.0356 92111830750155.0
64910.0 94729594823601.92 2519502387921.738 92210092435680.17
65300.0 94852496171516.08 2499404594180.7046 92353091577335.38
65690.0 95612878672552.9 2480001826762.0645 93132876845790.83
66080.0 95139315980629.55 2460374394673.1235 92678941585956.42
66480.0 94025722021660.66 2440610108303.2495 91585111913357.39
66880.0 93911632775119.62 2421530502392.344 91490102272727.27
67280.0 93353299643281.83 2402677764565.993 90950621878715.83
67690.0 93097887427980.5 2383252769980.795 90714634657999.7
68090.0 93871875458951.39 2364849170215.8906 91507026288735.48
68500.0 93922744525547.44 2345880291970.803 91576864233576.64
68920.0 93132878699941.97 2326799477655.2524 90806079222286.7
69330.0 91976720034617.03 2308282705899.322 89668437328717.72
69750.0 93743913978494.62 2290085161290.3228 91453828817204.3
70170.0 93994584580304.98 2271678210061.28 91722906370243.7
70590.0 92543448080464.64 2253915002124.947 90289533078339.7
71010.0 92882692578510.08 2236361920856.218 90646330657653.86
71440.0 92659350503919.39 2218704647256.439 90440645856662.95
71870.0 90936969528315.02 2201258661472.102 88735710866842.9
72300.0 91225449515905.95 2184020193637.6208 89041429322268.33
72740.0 92734396480615.89 2166275501787.1873 90568120978828.69
73170.0 93500560338936.72 2149037857045.237 91351522481891.48
73610.0 94774432821627.5 2131711995652.7644 92642720825974.72
74060.0 94198568728058.34 2114306508236.5652 92084262219821.78
74500.0 93762953020134.22 2097392751677.8523 91665560268456.38
74950.0 95399999999999.98 2080799999999.9998 93319200000000.0
75400.0 95625862068965.5 2064405305039.7878 93561456763925.72
75850.0 98181041529334.2 2047809887936.717 96133231641397.48
76310.0 98885676844450.28 2031536889005.373 96854139955444.9
76770.0 97355920281359.9 2015068386088.3157 95340851895271.58
77230.0 97668885148258.44 1998796063705.8137 95670089084552.64
77690.0 96666108894323.58 1982716437121.8945 94683392457201.69
78160.0 96353326509723.64 1966190890481.0645 94387135619242.58
78630.0 96768714231209.45 1950244181610.0725 94818470049599.39
79100.0 97368672566371.67 1934486978508.2175 95434185587863.47
79580.0 96216285498869.05 1918674792661.473 94297610706207.6
80060.0 95452185860604.55 1903426679990.0076 93548759180614.55
80540.0 96483933449217.78 1887988080456.916 94595945368760.88
81020.0 95209256973586.78 1873102443841.027 93336154529745.75
81510.0 94894368789105.64 1857796344006.8704 93036572445098.77
82000.0 95826317073170.72 1842673170731.707 93983643902439.02
82490.0 96238380409746.64 1827366226209.2373 94411014183537.39
82990.0 95947559946981.58 1812382937703.338 94135177009278.23
83490.0 96450209605940.83 1797579111270.811 94652630494670.03
83989.99999999999 95804643409929.77 1782594594594.5947 94022048815335.17
84500.0 95581207100591.72 1767578224852.0713 93813628875739.66
85000.0 97593717647058.81 1752948235294.1177 95840769411764.7
85520.0 98227268475210.48 1738433348924.2285 96488835126286.25
86030.0 97784354295013.38 1724294315936.3015 96060059979077.06
86550.0 98859526285384.17 1710124321201.6174 97149401964182.55
87070.00000000001 97855932008728.6 1695779258068.221 96160152750660.38
87590.0 98027994063249.23 1682289074095.2163 96345704989154.02
88120.0 98867317294598.28 1668768724466.6365 97198548570131.64
88650.0 98310050761421.33 1655071855611.957 96654978905809.38
89179.99999999999 97658555729984.31 1641537788741.8706 96017017941242.45
89720.0 98541038787338.38 1627982166740.972 96913056620597.42
90260.0 99579038333702.64 1614588743629.5146 97964449590073.12
90800.0 100274515418502.2 1601354625550.661 98673160792951.55
91340.0 100732012261878.69 1588276987081.2349 99143735274797.45
91890.0 99900707367504.62 1574855370551.7466 98325851996952.88
92449.99999999999 101079134667387.78 1561748837209.3025 99517385830178.48
93000.0 102028709677419.36 1548644301075.2688 100480065376344.1
93560.0 102892026507054.28 1535850149636.597 101356176357417.69
94120.00000000001 103490246493837.64 1523208244793.88 101967038249043.75
94690.0 103880430879712.75 1510239729644.1018 102370191150068.64
95260.0 104989796346840.22 1497426411925.257 103492369934914.97
95830.0 105397704267974.55 1484765522279.036 103912938745695.5
96410.0 106847090550772.73 1472412612799.5022 105374677937973.25
96990.0 106826353232291.98 1459898340035.0552 105366454892256.94
97570.0 107020949062211.75 1447532848211.5403 105573416214000.2
98160.0 106744193154034.23 1435167277913.6104 105309025876120.62
98750.0 105711756962025.31 1422949468354.4304 104288807493670.88
99340.0 106804127239782.56 1410574994966.7805 105393552244815.78
99940.0 107242845707424.45 1398506704022.4133 105844339003402.03
100500.0 106406626865671.64 1387432636815.9204 105019194228855.72
101100.0 106664747774480.72 1375343620178.0415 105289404154302.67
101800.0 106520294695481.33 1361763457760.3145 105158531237721.02
102400.0 106569531250000.0 1350271093750.0 105219260156250.0
103000.0 107374970873786.4 1338621553398.0583 106036349320388.34
103600.0 107245057915057.9 1327396332046.332 105917661583011.58
104200.0 107519443378119.0 1316300383877.1592 106203142994241.84
104800.0 108620286259541.98 1305331488549.6182 107314954770992.36
105500.0 109093099526066.34 1292407962085.308 107800691563981.03
106100.0 107543713477851.1 1281708576814.3262 106262004901036.77
106800.0 105379138576779.02 1269377902621.723 104109760674157.3
107400.0 106297802607076.34 1258657541899.4412 105039145065176.9
108000.0 106040370370370.36 1248333888888.889 104792036481481.48
108699.99999999999 104943790248390.08 1236433670653.174 103707356577736.9
109300.0 105519725526075.02 1226080512351.3264 104293645013723.69
