# lambda   continuum             lines                
  632      4.27446098945379E-5   4.27446098945379E-5  
  634      4.25344437570386E-5   4.25344437570386E-5  
  636      4.2325968031837E-5    4.2325968031837E-5   
  638      4.21191638707272E-5   4.21191638707272E-5  
  640      4.19140126938548E-5   4.19140126938548E-5  
  642      4.17104961850729E-5   4.17104961850729E-5  
  644      4.15085962873926E-5   4.15085962873926E-5  
  646      4.13082951985256E-5   4.13082951985256E-5  
  648      4.11095753665175E-5   4.11095753665175E-5  
  650      4.09124194854685E-5   4.09124194854685E-5  
  652      4.07168104913411E-5   4.07168104913411E-5  
  654      4.05227315578505E-5   4.05227315578505E-5  
  656      4.03301660924384E-5   4.03301660924384E-5  
  658      4.01390977323262E-5   4.01390977323262E-5  
  660      3.99495103406471E-5   3.99495103406471E-5  
  662      3.9761388002654E-5    3.9761388002654E-5   
  664      3.95747150220036E-5   3.95747150220036E-5  
  666      3.93894759171121E-5   3.93894759171121E-5  
  668      3.92056554175838E-5   3.92056554175838E-5  
  670      3.90232384607083E-5   3.90232384607083E-5  
  672      3.88422101880273E-5   3.88422101880273E-5  
  674      3.86625559419672E-5   3.86625559419672E-5  
  676      3.84842612625373E-5   3.84842612625373E-5  
  678      3.83073118840922E-5   3.83073118840922E-5  
  680      3.81316937321559E-5   3.81316937321559E-5  
  682      3.79573929203076E-5   3.79573929203076E-5  
  684      3.77843957471272E-5   3.77843957471272E-5  
  686      3.76126886931982E-5   3.76126886931982E-5  
  688      3.7442258418169E-5    3.7442258418169E-5   
  690      3.72730917578694E-5   3.72730917578694E-5  
  692      3.71051757214815E-5   3.71051757214815E-5  
  694      3.69384974887644E-5   3.69384974887644E-5  
  696      3.67730444073313E-5   3.67730444073313E-5  
  698      3.66088039899773E-5   3.66088039899773E-5  
  700      3.64457639120576E-5   3.64457639120576E-5  
  702      3.62839120089144E-5   3.62839120089144E-5  
  704      3.61232362733519E-5   3.61232362733519E-5  
  706      3.59637248531583E-5   3.59637248531583E-5  
  708      3.58053660486732E-5   3.58053660486732E-5  
  710      3.56481483104007E-5   3.56481483104007E-5  
