6800.5 0.0
6801.1 0.00051625678
6826.7 0.0010309863
6852.1 0.0010290787
6877.1 0.0012750677
6901.8 0.0026579425
6926.1 0.0083559165
6950.7 0.032861408
6974.3 0.1329462
6997.6 0.3598921
7020.4 0.4846813
7045.9 0.4748534
7071.8 0.4819888
7097.9 0.4934934
7123.3 0.4929772
7148.4 0.4855246
7173.2 0.4558773
7197.7 0.4317287
7222.0 0.4733323
7246.4 0.4468721
7270.1 0.4367523
7293.4 0.4384062
7316.4 0.4462442
7339.0 0.4655821
7361.4 0.4694966
7383.8 0.4751849
7405.4 0.4769738
7426.6 0.4765126
7447.5 0.4742507
7471.0 0.4753986
7494.6 0.4723946
7518.5 0.4713451
7541.5 0.4700918
7564.3 0.4660971
7586.8 0.4536511
7609.0 0.139232
7630.9 0.2234381
7652.9 0.325743
7674.2 0.4075342
7695.1 0.4314832
7715.6 0.4370819
7735.8 0.4345172
7755.7 0.4342047
7776.0 0.4346338
7798.0 0.4322653
7819.7 0.4270316
7841.1 0.4175394
7862.2 0.4084569
7883.1 0.3996913
7904.0 0.3956064
7924.2 0.3941423
7944.1 0.3967175
7963.6 0.3918708
7982.8 0.3916799
8003.6 0.3873174
8024.1 0.3842363
8044.3 0.3809796
8064.3 0.3777738
8083.9 0.3735213
8103.2 0.3646588
8122.6 0.3541732
8141.3 0.3358707
8159.6 0.3251867
8177.5 0.3145188
8195.1 0.3269702
8213.7 0.3396491
8233.3 0.2982109
8252.3 0.3339664
8270.9 0.3254058
8289.2 0.3134751
8307.2 0.3165853
8324.9 0.3099213
8342.6 0.3112045
8359.5 0.3088861
8376.1 0.307516
8392.3 0.3059078
8408.2 0.3025353
8424.5 0.3014871
8442.8 0.2953457
8460.4 0.2925968
8477.7 0.2871902
8494.6 0.2768212
8511.2 0.250975
8527.5 0.2000415
8543.7 0.1294927
8559.3 0.073870778
8574.5 0.039484002
8589.3 0.021463027
8603.7 0.012250025
8617.8 0.007273051
8631.7 0.0048002489
8644.9 0.0034317444
8657.8 0.0026049691
8670.2 0.0020667382
8682.2 0.001791958
8693.8 0.0015212029
8705.1 0.001509323
8715.8 0.0014958956
8726.1 0.0014832113
8734.2 0.0
