3000.0 0.0
3010.0 1.1246973e-10
3030.0 2.4184865e-09
3050.0 9.4215113e-07
3070.0 3.049535e-05
3090.0 0.00021500385
3120.0 0.0013551944
3140.0 0.0033841415
3160.0 0.0076748147
3180.0 0.015103435
3200.0 0.02768917
3220.0 0.040460005
3250.0 0.062837042
3270.0 0.084679268
3290.0 0.1062561
3310.0 0.118991
3330.0 0.135536
3360.0 0.15155
3380.0 0.1578878
3400.0 0.1675797
3420.0 0.1804526
3450.0 0.1973092
3470.0 0.2047521
3490.0 0.2130701
3510.0 0.2210109
3530.0 0.2276867
3560.0 0.2392899
3580.0 0.2465342
3600.0 0.2534073
3620.0 0.2637126
3640.0 0.274842
3670.0 0.2923184
3690.0 0.3006066
3710.0 0.3121199
3730.0 0.3226326
3750.0 0.3319383
3780.0 0.3472555
3800.0 0.3562696
3820.0 0.3625286
3840.0 0.3706861
3860.0 0.3786508
3890.0 0.3894582
3910.0 0.395472
3930.0 0.4006236
3950.0 0.3876043
3970.0 0.2310694
4000.0 0.018132273
4020.0 0.0026808549
4040.0 0.00045142899
4060.0 0.0
4080.0 0.0
4110.0 0.0
4130.0 0.0
4150.0 0.0
4170.0 0.0
4190.0 0.0
4200.0 0.0
